code,name,market,sector,theme
6551,ツナググループ・ホールディングス,Standard,サービス業,サービス
6552,ＧａｍｅＷｉｔｈ,Standard,サービス業,サービス
6554,エスユーエス,Growth,サービス業,サービス
6555,ＭＳ＆Ｃｏｎｓｕｌｔｉｎｇ,Standard,サービス業,サービス
6557,ＡＩＡＩグループ,Growth,サービス業,サービス
6558,クックビズ,Growth,サービス業,サービス
6560,エル・ティー・エス,Prime,サービス業,サービス
6561,ＨＡＮＡＴＯＵＲ　ＪＡＰＡＮ,Growth,サービス業,サービス
6562,ジーニー,Growth,サービス業,サービス
6563,みらいワークス,Growth,サービス業,サービス
6564,ミダックホールディングス,Prime,サービス業,サービス
6565,ＡＢホテル,Standard,サービス業,サービス
6566,要興業,Standard,サービス業,サービス
6568,神戸天然物化学,Growth,サービス業,サービス
6570,共和コーポレーション,Standard,サービス業,サービス
6571,キュービーネットホールディングス,Prime,サービス業,サービス
6572,オープングループ,Prime,サービス業,サービス
6573,ＣＲＡＶＩＡ,Growth,サービス業,サービス
6574,コンヴァノ,Growth,サービス業,サービス
6576,揚工舎,PRO,サービス業,サービス
6577,ベストワンドットコム,Growth,サービス業,サービス
6578,コレックホールディングス,Standard,サービス業,サービス
6579,ログリー,Growth,サービス業,サービス
6580,ライトアップ,Growth,サービス業,サービス
6584,三櫻工業,Prime,輸送用機器,内需・ディフェンシブ
6586,マキタ,Prime,機械,ロボット・FA
6588,東芝テック,Prime,電気機器,半導体関連
6590,芝浦メカトロニクス,Prime,電気機器,半導体関連
6592,マブチモーター,Prime,電気機器,半導体関連
6594,ニデック,Prime,電気機器,半導体関連
6596,筑波精工,PRO,電気機器,半導体関連
6597,ＨＰＣシステムズ,Growth,電気機器,半導体関連
6599,エブレン,Standard,電気機器,半導体関連
6612,バルミューダ,Growth,電気機器,半導体関連
6613,ＱＤレーザ,Growth,電気機器,半導体関連
6614,シキノハイテック,Standard,電気機器,半導体関連
6615,ユー・エム・シー・エレクトロニクス,Prime,電気機器,半導体関連
6616,トレックス・セミコンダクター,Prime,電気機器,半導体関連
6617,東光高岳,Prime,電気機器,半導体関連
6619,ダブル・スコープ,Prime,電気機器,半導体関連
6620,宮越ホールディングス,Prime,不動産業,内需・ディフェンシブ
6622,ダイヘン,Prime,電気機器,半導体関連
6625,ＪＡＬＣＯホールディングス,Standard,不動産業,内需・ディフェンシブ
6626,ＳＥＭＩＴＥＣ,Standard,電気機器,半導体関連
6627,テラプローブ,Standard,電気機器,半導体関連
6629,テクノホライゾン,Standard,電気機器,半導体関連
6630,ヤーマン,Prime,電気機器,半導体関連
6632,ＪＶＣケンウッド,Prime,電気機器,半導体関連
6633,ＣＧＳホールディングス,Standard,電気機器,半導体関連
6634,ＪＮグループ,Standard,電気機器,半導体関連
